번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),파일명,한국어,Unnamed: 7
6280,8,2017,정면,단어,KETI_SL_0000006280.MP4,화상,
6699,8,2017,측면,단어,KETI_SL_0000006699.MP4,화상,
7119,9,2017,정면,단어,KETI_SL_0000007119.MP4,화상,
7538,9,2017,측면,단어,KETI_SL_0000007538.MP4,화상,
7957,10,2017,정면,단어,KETI_SL_0000007957.MP4,화상,
8376,10,2017,측면,단어,KETI_SL_0000008376.MP4,화상,
8431,1,2017,정면,문장,KETI_SL_0000008431.MP4,홍수가 나서 집이 물에 잠기고 있어요,
8536,1,2017,측면,문장,KETI_SL_0000008536.MP4,홍수가 나서 집이 물에 잠기고 있어요,
8641,2,2017,정면,문장,KETI_SL_0000008641.MP4,홍수가 나서 집이 물에 잠기고 있어요,
8746,2,2017,측면,문장,KETI_SL_0000008746.MP4,홍수가 나서 집이 물에 잠기고 있어요,
8851,3,2017,정면,문장,KETI_SL_0000008851.MP4,홍수가 나서 집이 물에 잠기고 있어요,
8956,3,2017,측면,문장,KETI_SL_0000008956.MP4,홍수가 나서 집이 물에 잠기고 있어요,
9061,4,2017,정면,문장,KETI_SL_0000009061.MP4,홍수가 나서 집이 물에 잠기고 있어요,
9166,4,2017,측면,문장,KETI_SL_0000009166.MP4,홍수가 나서 집이 물에 잠기고 있어요,
9271,5,2017,정면,문장,KETI_SL_0000009271.MP4,홍수가 나서 집이 물에 잠기고 있어요,
9376,5,2017,측면,문장,KETI_SL_0000009376.MP4,홍수가 나서 집이 물에 잠기고 있어요,
9481,6,2017,정면,문장,KETI_SL_0000009481.MP4,홍수가 나서 집이 물에 잠기고 있어요,
9585,6,2017,측면,문장,KETI_SL_0000009585.MP4,홍수가 나서 집이 물에 잠기고 있어요,
9691,7,2017,정면,문장,KETI_SL_0000009691.MP4,홍수가 나서 집이 물에 잠기고 있어요,
9796,7,2017,측면,문장,KETI_SL_0000009796.MP4,홍수가 나서 집이 물에 잠기고 있어요,
9901,8,2017,정면,문장,KETI_SL_0000009901.MP4,홍수가 나서 집이 물에 잠기고 있어요,
10006,8,2017,측면,문장,KETI_SL_0000010006.MP4,홍수가 나서 집이 물에 잠기고 있어요,
10111,9,2017,정면,문장,KETI_SL_0000010111.MP4,홍수가 나서 집이 물에 잠기고 있어요,
10216,9,2017,측면,문장,KETI_SL_0000010216.MP4,홍수가 나서 집이 물에 잠기고 있어요,
10321,10,2017,정면,문장,KETI_SL_0000010321.MP4,홍수가 나서 집이 물에 잠기고 있어요,
10426,10,2017,측면,문장,KETI_SL_0000010426.MP4,홍수가 나서 집이 물에 잠기고 있어요,
414,1,2017,정면,단어,KETI_SL_0000000414.MP4,홍수,
833,1,2017,측면,단어,KETI_SL_0000000833.MP4,홍수,
1250,2,2017,정면,단어,KETI_SL_0000001250.MP4,홍수,
1669,2,2017,측면,단어,KETI_SL_0000001669.MP4,홍수,
2027,3,2017,정면,단어,KETI_SL_0000002027.MP4,홍수,
2446,3,2017,측면,단어,KETI_SL_0000002446.MP4,홍수,
2927,4,2017,정면,단어,KETI_SL_0000002927.MP4,홍수,
3346,4,2017,측면,단어,KETI_SL_0000003346.MP4,홍수,
3755,5,2017,정면,단어,KETI_SL_0000003755.MP4,홍수,
4173,5,2017,측면,단어,KETI_SL_0000004173.MP4,홍수,
4602,6,2017,정면,단어,KETI_SL_0000004602.MP4,홍수,
5021,6,2017,측면,단어,KETI_SL_0000005021.MP4,홍수,
5440,7,2017,정면,단어,KETI_SL_0000005440.MP4,홍수,
5857,7,2017,측면,단어,KETI_SL_0000005857.MP4,홍수,
6279,8,2017,정면,단어,KETI_SL_0000006279.MP4,홍수,
6698,8,2017,측면,단어,KETI_SL_0000006698.MP4,홍수,
7118,9,2017,정면,단어,KETI_SL_0000007118.MP4,홍수,
7537,9,2017,측면,단어,KETI_SL_0000007537.MP4,홍수,
7956,10,2017,정면,단어,KETI_SL_0000007956.MP4,홍수,
8375,10,2017,측면,단어,KETI_SL_0000008375.MP4,홍수,
413,1,2017,정면,단어,KETI_SL_0000000413.MP4,호흡기,
832,1,2017,측면,단어,KETI_SL_0000000832.MP4,호흡기,
1249,2,2017,정면,단어,KETI_SL_0000001249.MP4,호흡기,
1668,2,2017,측면,단어,KETI_SL_0000001668.MP4,호흡기,
2026,3,2017,정면,단어,KETI_SL_0000002026.MP4,호흡기,
2445,3,2017,측면,단어,KETI_SL_0000002445.MP4,호흡기,
2926,4,2017,정면,단어,KETI_SL_0000002926.MP4,호흡기,
3345,4,2017,측면,단어,KETI_SL_0000003345.MP4,호흡기,
3754,5,2017,정면,단어,KETI_SL_0000003754.MP4,호흡기,
4172,5,2017,측면,단어,KETI_SL_0000004172.MP4,호흡기,
4601,6,2017,정면,단어,KETI_SL_0000004601.MP4,호흡기,
5020,6,2017,측면,단어,KETI_SL_0000005020.MP4,호흡기,
5439,7,2017,정면,단어,KETI_SL_0000005439.MP4,호흡기,
5856,7,2017,측면,단어,KETI_SL_0000005856.MP4,호흡기,
6278,8,2017,정면,단어,KETI_SL_0000006278.MP4,호흡기,
6697,8,2017,측면,단어,KETI_SL_0000006697.MP4,호흡기,
7117,9,2017,정면,단어,KETI_SL_0000007117.MP4,호흡기,
7536,9,2017,측면,단어,KETI_SL_0000007536.MP4,호흡기,
7955,10,2017,정면,단어,KETI_SL_0000007955.MP4,호흡기,
8374,10,2017,측면,단어,KETI_SL_0000008374.MP4,호흡기,
412,1,2017,정면,단어,KETI_SL_0000000412.MP4,호흡곤란,
831,1,2017,측면,단어,KETI_SL_0000000831.MP4,호흡곤란,
1248,2,2017,정면,단어,KETI_SL_0000001248.MP4,호흡곤란,
1667,2,2017,측면,단어,KETI_SL_0000001667.MP4,호흡곤란,
2025,3,2017,정면,단어,KETI_SL_0000002025.MP4,호흡곤란,
2444,3,2017,측면,단어,KETI_SL_0000002444.MP4,호흡곤란,
2925,4,2017,정면,단어,KETI_SL_0000002925.MP4,호흡곤란,
3344,4,2017,측면,단어,KETI_SL_0000003344.MP4,호흡곤란,
3753,5,2017,정면,단어,KETI_SL_0000003753.MP4,호흡곤란,
4171,5,2017,측면,단어,KETI_SL_0000004171.MP4,호흡곤란,
4600,6,2017,정면,단어,KETI_SL_0000004600.MP4,호흡곤란,
5019,6,2017,측면,단어,KETI_SL_0000005019.MP4,호흡곤란,
5438,7,2017,정면,단어,KETI_SL_0000005438.MP4,호흡곤란,
5855,7,2017,측면,단어,KETI_SL_0000005855.MP4,호흡곤란,
6277,8,2017,정면,단어,KETI_SL_0000006277.MP4,호흡곤란,
6696,8,2017,측면,단어,KETI_SL_0000006696.MP4,호흡곤란,
7116,9,2017,정면,단어,KETI_SL_0000007116.MP4,호흡곤란,
7535,9,2017,측면,단어,KETI_SL_0000007535.MP4,호흡곤란,
7954,10,2017,정면,단어,KETI_SL_0000007954.MP4,호흡곤란,
8373,10,2017,측면,단어,KETI_SL_0000008373.MP4,호흡곤란,
411,1,2017,정면,단어,KETI_SL_0000000411.MP4,형,
830,1,2017,측면,단어,KETI_SL_0000000830.MP4,형,
1247,2,2017,정면,단어,KETI_SL_0000001247.MP4,형,
1666,2,2017,측면,단어,KETI_SL_0000001666.MP4,형,
2024,3,2017,정면,단어,KETI_SL_0000002024.MP4,형,
2443,3,2017,측면,단어,KETI_SL_0000002443.MP4,형,
2924,4,2017,정면,단어,KETI_SL_0000002924.MP4,형,
3343,4,2017,측면,단어,KETI_SL_0000003343.MP4,형,
3752,5,2017,정면,단어,KETI_SL_0000003752.MP4,형,
4170,5,2017,측면,단어,KETI_SL_0000004170.MP4,형,
4599,6,2017,정면,단어,KETI_SL_0000004599.MP4,형,
5018,6,2017,측면,단어,KETI_SL_0000005018.MP4,형,
5437,7,2017,정면,단어,KETI_SL_0000005437.MP4,형,
5854,7,2017,측면,단어,KETI_SL_0000005854.MP4,형,
6276,8,2017,정면,단어,KETI_SL_0000006276.MP4,형,
6695,8,2017,측면,단어,KETI_SL_0000006695.MP4,형,
7115,9,2017,정면,단어,KETI_SL_0000007115.MP4,형,
7534,9,2017,측면,단어,KETI_SL_0000007534.MP4,형,
7953,10,2017,정면,단어,KETI_SL_0000007953.MP4,형,
8372,10,2017,측면,단어,KETI_SL_0000008372.MP4,형,
410,1,2017,정면,단어,KETI_SL_0000000410.MP4,협박,
829,1,2017,측면,단어,KETI_SL_0000000829.MP4,협박,
1246,2,2017,정면,단어,KETI_SL_0000001246.MP4,협박,
1665,2,2017,측면,단어,KETI_SL_0000001665.MP4,협박,
2023,3,2017,정면,단어,KETI_SL_0000002023.MP4,협박,
2442,3,2017,측면,단어,KETI_SL_0000002442.MP4,협박,
2923,4,2017,정면,단어,KETI_SL_0000002923.MP4,협박,
3342,4,2017,측면,단어,KETI_SL_0000003342.MP4,협박,
3751,5,2017,정면,단어,KETI_SL_0000003751.MP4,협박,
4169,5,2017,측면,단어,KETI_SL_0000004169.MP4,협박,
4598,6,2017,정면,단어,KETI_SL_0000004598.MP4,협박,
5017,6,2017,측면,단어,KETI_SL_0000005017.MP4,협박,
5436,7,2017,정면,단어,KETI_SL_0000005436.MP4,협박,
5853,7,2017,측면,단어,KETI_SL_0000005853.MP4,협박,
6275,8,2017,정면,단어,KETI_SL_0000006275.MP4,협박,
6694,8,2017,측면,단어,KETI_SL_0000006694.MP4,협박,
7114,9,2017,정면,단어,KETI_SL_0000007114.MP4,협박,
7533,9,2017,측면,단어,KETI_SL_0000007533.MP4,협박,
7952,10,2017,정면,단어,KETI_SL_0000007952.MP4,협박,
8371,10,2017,측면,단어,KETI_SL_0000008371.MP4,협박,
409,1,2017,정면,단어,KETI_SL_0000000409.MP4,현관앞,
828,1,2017,측면,단어,KETI_SL_0000000828.MP4,현관앞,
1245,2,2017,정면,단어,KETI_SL_0000001245.MP4,현관앞,
1664,2,2017,측면,단어,KETI_SL_0000001664.MP4,현관앞,
2021,3,2017,정면,단어,KETI_SL_0000002021.MP4,현관앞,
2440,3,2017,측면,단어,KETI_SL_0000002440.MP4,현관앞,
2922,4,2017,정면,단어,KETI_SL_0000002922.MP4,현관앞,
3341,4,2017,측면,단어,KETI_SL_0000003341.MP4,현관앞,
3750,5,2017,정면,단어,KETI_SL_0000003750.MP4,현관앞,
4168,5,2017,측면,단어,KETI_SL_0000004168.MP4,현관앞,
4597,6,2017,정면,단어,KETI_SL_0000004597.MP4,현관앞,
5016,6,2017,측면,단어,KETI_SL_0000005016.MP4,현관앞,
5435,7,2017,정면,단어,KETI_SL_0000005435.MP4,현관앞,
5852,7,2017,측면,단어,KETI_SL_0000005852.MP4,현관앞,
6274,8,2017,정면,단어,KETI_SL_0000006274.MP4,현관앞,
6693,8,2017,측면,단어,KETI_SL_0000006693.MP4,현관앞,
7113,9,2017,정면,단어,KETI_SL_0000007113.MP4,현관앞,
7532,9,2017,측면,단어,KETI_SL_0000007532.MP4,현관앞,
7951,10,2017,정면,단어,KETI_SL_0000007951.MP4,현관앞,
8370,10,2017,측면,단어,KETI_SL_0000008370.MP4,현관앞,
408,1,2017,정면,단어,KETI_SL_0000000408.MP4,현관,
827,1,2017,측면,단어,KETI_SL_0000000827.MP4,현관,
1244,2,2017,정면,단어,KETI_SL_0000001244.MP4,현관,
1663,2,2017,측면,단어,KETI_SL_0000001663.MP4,현관,
2020,3,2017,정면,단어,KETI_SL_0000002020.MP4,현관,
2439,3,2017,측면,단어,KETI_SL_0000002439.MP4,현관,
2921,4,2017,정면,단어,KETI_SL_0000002921.MP4,현관,
3340,4,2017,측면,단어,KETI_SL_0000003340.MP4,현관,
3749,5,2017,정면,단어,KETI_SL_0000003749.MP4,현관,
4167,5,2017,측면,단어,KETI_SL_0000004167.MP4,현관,
4596,6,2017,정면,단어,KETI_SL_0000004596.MP4,현관,
5015,6,2017,측면,단어,KETI_SL_0000005015.MP4,현관,
5434,7,2017,정면,단어,KETI_SL_0000005434.MP4,현관,
5851,7,2017,측면,단어,KETI_SL_0000005851.MP4,현관,
6273,8,2017,정면,단어,KETI_SL_0000006273.MP4,현관,
6692,8,2017,측면,단어,KETI_SL_0000006692.MP4,현관,
7112,9,2017,정면,단어,KETI_SL_0000007112.MP4,현관,
7531,9,2017,측면,단어,KETI_SL_0000007531.MP4,현관,
7950,10,2017,정면,단어,KETI_SL_0000007950.MP4,현관,
8369,10,2017,측면,단어,KETI_SL_0000008369.MP4,현관,
407,1,2017,정면,단어,KETI_SL_0000000407.MP4,허벅지,
826,1,2017,측면,단어,KETI_SL_0000000826.MP4,허벅지,
1243,2,2017,정면,단어,KETI_SL_0000001243.MP4,허벅지,
1662,2,2017,측면,단어,KETI_SL_0000001662.MP4,허벅지,
2019,3,2017,정면,단어,KETI_SL_0000002019.MP4,허벅지,
2438,3,2017,측면,단어,KETI_SL_0000002438.MP4,허벅지,
2920,4,2017,정면,단어,KETI_SL_0000002920.MP4,허벅지,
3339,4,2017,측면,단어,KETI_SL_0000003339.MP4,허벅지,
3748,5,2017,정면,단어,KETI_SL_0000003748.MP4,허벅지,
4166,5,2017,측면,단어,KETI_SL_0000004166.MP4,허벅지,
4595,6,2017,정면,단어,KETI_SL_0000004595.MP4,허벅지,
5014,6,2017,측면,단어,KETI_SL_0000005014.MP4,허벅지,
5433,7,2017,정면,단어,KETI_SL_0000005433.MP4,허벅지,
5850,7,2017,측면,단어,KETI_SL_0000005850.MP4,허벅지,
6272,8,2017,정면,단어,KETI_SL_0000006272.MP4,허벅지,
6691,8,2017,측면,단어,KETI_SL_0000006691.MP4,허벅지,
7111,9,2017,정면,단어,KETI_SL_0000007111.MP4,허벅지,
7530,9,2017,측면,단어,KETI_SL_0000007530.MP4,허벅지,
7949,10,2017,정면,단어,KETI_SL_0000007949.MP4,허벅지,
8368,10,2017,측면,단어,KETI_SL_0000008368.MP4,허벅지,
8481,1,2017,정면,문장,KETI_SL_0000008481.MP4,허리가 아파서 일어날 수 없어요,
8586,1,2017,측면,문장,KETI_SL_0000008586.MP4,허리가 아파서 일어날 수 없어요,
8691,2,2017,정면,문장,KETI_SL_0000008691.MP4,허리가 아파서 일어날 수 없어요,
8796,2,2017,측면,문장,KETI_SL_0000008796.MP4,허리가 아파서 일어날 수 없어요,
8901,3,2017,정면,문장,KETI_SL_0000008901.MP4,허리가 아파서 일어날 수 없어요,
9006,3,2017,측면,문장,KETI_SL_0000009006.MP4,허리가 아파서 일어날 수 없어요,
9111,4,2017,정면,문장,KETI_SL_0000009111.MP4,허리가 아파서 일어날 수 없어요,
9216,4,2017,측면,문장,KETI_SL_0000009216.MP4,허리가 아파서 일어날 수 없어요,
9321,5,2017,정면,문장,KETI_SL_0000009321.MP4,허리가 아파서 일어날 수 없어요,
9426,5,2017,측면,문장,KETI_SL_0000009426.MP4,허리가 아파서 일어날 수 없어요,
9531,6,2017,정면,문장,KETI_SL_0000009531.MP4,허리가 아파서 일어날 수 없어요,
9635,6,2017,측면,문장,KETI_SL_0000009635.MP4,허리가 아파서 일어날 수 없어요,
9741,7,2017,정면,문장,KETI_SL_0000009741.MP4,허리가 아파서 일어날 수 없어요,
9846,7,2017,측면,문장,KETI_SL_0000009846.MP4,허리가 아파서 일어날 수 없어요,
9951,8,2017,정면,문장,KETI_SL_0000009951.MP4,허리가 아파서 일어날 수 없어요,
10056,8,2017,측면,문장,KETI_SL_0000010056.MP4,허리가 아파서 일어날 수 없어요,
10161,9,2017,정면,문장,KETI_SL_0000010161.MP4,허리가 아파서 일어날 수 없어요,
10266,9,2017,측면,문장,KETI_SL_0000010266.MP4,허리가 아파서 일어날 수 없어요,
10371,10,2017,정면,문장,KETI_SL_0000010371.MP4,허리가 아파서 일어날 수 없어요,
10476,10,2017,측면,문장,KETI_SL_0000010476.MP4,허리가 아파서 일어날 수 없어요,
406,1,2017,정면,단어,KETI_SL_0000000406.MP4,허리,
825,1,2017,측면,단어,KETI_SL_0000000825.MP4,허리,
1242,2,2017,정면,단어,KETI_SL_0000001242.MP4,허리,
1661,2,2017,측면,단어,KETI_SL_0000001661.MP4,허리,
2018,3,2017,정면,단어,KETI_SL_0000002018.MP4,허리,
2437,3,2017,측면,단어,KETI_SL_0000002437.MP4,허리,
2919,4,2017,정면,단어,KETI_SL_0000002919.MP4,허리,
3338,4,2017,측면,단어,KETI_SL_0000003338.MP4,허리,
3747,5,2017,정면,단어,KETI_SL_0000003747.MP4,허리,
4165,5,2017,측면,단어,KETI_SL_0000004165.MP4,허리,
4594,6,2017,정면,단어,KETI_SL_0000004594.MP4,허리,
5013,6,2017,측면,단어,KETI_SL_0000005013.MP4,허리,
5432,7,2017,정면,단어,KETI_SL_0000005432.MP4,허리,
5849,7,2017,측면,단어,KETI_SL_0000005849.MP4,허리,
6271,8,2017,정면,단어,KETI_SL_0000006271.MP4,허리,
6690,8,2017,측면,단어,KETI_SL_0000006690.MP4,허리,
7110,9,2017,정면,단어,KETI_SL_0000007110.MP4,허리,
7529,9,2017,측면,단어,KETI_SL_0000007529.MP4,허리,
7948,10,2017,정면,단어,KETI_SL_0000007948.MP4,허리,
8367,10,2017,측면,단어,KETI_SL_0000008367.MP4,허리,
8424,1,2017,정면,문장,KETI_SL_0000008424.MP4,해파리에게 쏘였어요,
8529,1,2017,측면,문장,KETI_SL_0000008529.MP4,해파리에게 쏘였어요,
8634,2,2017,정면,문장,KETI_SL_0000008634.MP4,해파리에게 쏘였어요,
8739,2,2017,측면,문장,KETI_SL_0000008739.MP4,해파리에게 쏘였어요,
8844,3,2017,정면,문장,KETI_SL_0000008844.MP4,해파리에게 쏘였어요,
8949,3,2017,측면,문장,KETI_SL_0000008949.MP4,해파리에게 쏘였어요,
9054,4,2017,정면,문장,KETI_SL_0000009054.MP4,해파리에게 쏘였어요,
9159,4,2017,측면,문장,KETI_SL_0000009159.MP4,해파리에게 쏘였어요,
9264,5,2017,정면,문장,KETI_SL_0000009264.MP4,해파리에게 쏘였어요,
9369,5,2017,측면,문장,KETI_SL_0000009369.MP4,해파리에게 쏘였어요,
9474,6,2017,정면,문장,KETI_SL_0000009474.MP4,해파리에게 쏘였어요,
9578,6,2017,측면,문장,KETI_SL_0000009578.MP4,해파리에게 쏘였어요,
9684,7,2017,정면,문장,KETI_SL_0000009684.MP4,해파리에게 쏘였어요,
9789,7,2017,측면,문장,KETI_SL_0000009789.MP4,해파리에게 쏘였어요,
9894,8,2017,정면,문장,KETI_SL_0000009894.MP4,해파리에게 쏘였어요,
9999,8,2017,측면,문장,KETI_SL_0000009999.MP4,해파리에게 쏘였어요,
10104,9,2017,정면,문장,KETI_SL_0000010104.MP4,해파리에게 쏘였어요,
10209,9,2017,측면,문장,KETI_SL_0000010209.MP4,해파리에게 쏘였어요,
10314,10,2017,정면,문장,KETI_SL_0000010314.MP4,해파리에게 쏘였어요,
10419,10,2017,측면,문장,KETI_SL_0000010419.MP4,해파리에게 쏘였어요,
405,1,2017,정면,단어,KETI_SL_0000000405.MP4,해열제,
824,1,2017,측면,단어,KETI_SL_0000000824.MP4,해열제,
1241,2,2017,정면,단어,KETI_SL_0000001241.MP4,해열제,
1660,2,2017,측면,단어,KETI_SL_0000001660.MP4,해열제,
2017,3,2017,정면,단어,KETI_SL_0000002017.MP4,해열제,
2436,3,2017,측면,단어,KETI_SL_0000002436.MP4,해열제,
2918,4,2017,정면,단어,KETI_SL_0000002918.MP4,해열제,
3337,4,2017,측면,단어,KETI_SL_0000003337.MP4,해열제,
3746,5,2017,정면,단어,KETI_SL_0000003746.MP4,해열제,
4164,5,2017,측면,단어,KETI_SL_0000004164.MP4,해열제,
4593,6,2017,정면,단어,KETI_SL_0000004593.MP4,해열제,
5012,6,2017,측면,단어,KETI_SL_0000005012.MP4,해열제,
